InvoiceID,BusinessTurnover,InvoiceAmount,FilingFrequency,InvoiceText,Fraudulent
285a9933-c547-4331-8878-19159db14438,1998835.9511510767,33868.046824615594,Monthly,"Assume worker produce. Listen industry material anyone language turn do.
Hit foreign me. Amount Democrat group.",1
bb737d46-c211-42cf-9641-f6fa50df70b5,8387860.570532435,81757.80585231018,Monthly,Interesting might vote individual military interesting mission. Foot total medical environment win identify.,0
dc85ff2c-2796-4feb-8bb7-dc33ab3c1a11,7134111.955994314,50421.37593156844,Monthly,Court style state attention indeed reveal sound. Republican simple away mention kid true cover. Around where option open view some another.,0
56b11208-2059-46e5-9100-7be0e672b9fc,3007559.4166100547,69253.30241991323,Quarterly,"Company by nothing much house condition billion. His worker leave approach.
Position black protect ground doctor other upon traditional. Charge position health long the certainly.",1
ce20d637-3b18-4975-93cc-81cbb89fcb0d,1116883.3270832626,56952.004054077166,Quarterly,Himself seek rich various industry long. Unit interest board or response strategy. May attorney PM feeling.,0
3a90fb7c-deb3-4801-aa1a-1ea401df8d6f,830977.6288543754,72397.76753646087,Monthly,"Common account item benefit tend provide. Might economy spend bad simply most.
Would every card way garden TV energy. Back race later rise picture ten. Wish space professional because opportunity.",0
ddc86d06-9a24-4feb-8981-6cd6a54c9bef,7200934.822481647,97186.9504623495,Quarterly,"Find hour anything person. Money smile few easy dark.
Campaign population year military upon likely. Treatment new stop reveal win once memory.",0
970c80e7-8f81-44f0-aea1-b276bf86c2f7,7349633.558292656,33935.34918270654,Monthly,Person respond window door including ever should image. Program general partner top father join.,0
532e64d8-aff0-4d47-8112-4faf8e38bc6c,1113045.768554153,43396.45354339034,Monthly,Where loss view speech. Section important decade democratic stay theory level.,0
64b5d355-2f3d-4b4e-93a8-bcb45a681679,237316.41892307714,92276.19478876502,Monthly,"Street leg phone. Cost minute ago plant thought.
Kitchen the box administration national travel.
Participant nature prove ask all enjoy our magazine. My town yes study standard require network.",0
1d8cc723-07a5-4c56-bae7-4a8ea6f43c12,4460661.374762714,52484.66858511171,Monthly,"Sea join cold employee will teacher pretty. Can father above.
Responsibility school contain commercial issue. Owner would Republican girl yeah lay return.",1
b0a74a09-2dbd-4a09-9477-bef846f6eddb,9597191.823817613,62721.0471457251,Monthly,Pm drop final attack race. Surface answer born notice serious those. Send because subject site suddenly memory.,0
4dfdcbf0-0abd-4d86-8f76-05893286933c,5097012.0003744885,38168.3753102574,Quarterly,"This everyone wide maybe. Food develop herself. White us remember discussion develop.
Play baby main plan win. Environmental deep remember fear Republican cell.",1
c6261339-6959-4d90-bb8e-399db97c330e,9993429.607725004,59175.699044375295,Monthly,Old song small open. Film around over here goal upon. Book low without exist someone property everybody.,1
36985c6d-e52e-4687-9af8-8fece2294ff2,4696148.801810842,33270.55287745486,Monthly,"Rule animal far free quite a statement. Hotel visit two want few brother.
Tax hold cut many better. Change strong take their option single camera.",1
04f7e29e-2aaa-460c-a546-3a9b2519f446,9784288.425890658,82231.98417202277,Quarterly,Majority southern fight environment sort since. Let firm three ahead plant or. Act discover these really budget green.,1
